source_code;target_table;data_type;canonical_metric;available_years
C11_MEN_CS1;composition;NUM;menages_pers_ref_agri_expl_compl;2011
C11_MEN_CS2;composition;NUM;menages_pers_ref_art_comm_chefs_entr_compl;2011
C11_MEN_CS3;composition;NUM;menages_pers_ref_cadres_prof_int_sup_compl;2011
C11_MEN_CS4;composition;NUM;menages_pers_ref_prof_intermediaire_compl;2011
C11_MEN_CS5;composition;NUM;menages_pers_ref_employe_compl;2011
C11_MEN_CS6;composition;NUM;menages_pers_ref_ouvrier_compl;2011
C11_NE24F0;composition;NUM;fam_0_enfant_moins_25_ans_compl;2011
C11_NE24F1;composition;NUM;fam_1_enfant_moins_25_ans_compl;2011
C11_NE24F2;composition;NUM;fam_2_enfants_moins_25_ans_compl;2011
C11_NE24F3;composition;NUM;fam_3_enfants_moins_25_ans_compl;2011
C11_NE24F4P;composition;NUM;fam_4_enfants_ou_plus_moins_25_ans_compl;2011
C11_PMEN;composition;NUM;pop_menages_compl;2011
C11_PMEN_CS1;composition;NUM;pop_men_pers_ref_agri_expl_compl;2011
C11_PMEN_CS2;composition;NUM;pop_men_pers_ref_art_com_chef_ent_compl;2011
C11_PMEN_CS3;composition;NUM;pop_men_pers_ref_cadres_prof_int_sup_compl;2011
C11_PMEN_CS4;composition;NUM;pop_men_pers_ref_prof_intermediaire_compl;2011
C11_PMEN_CS5;composition;NUM;pop_men_pers_ref_employe_compl;2011
C11_PMEN_CS6;composition;NUM;pop_men_pers_ref_ouvrier_compl;2011
C11_PMEN_MENCOUPAENF;composition;NUM;pop_men_fam_princ_couple_avec_enfant_s_compl;2011
C11_PMEN_MENCOUPSENF;composition;NUM;pop_men_fam_princ_couple_sans_enfant_compl;2011
C11_PMEN_MENFAM;composition;NUM;pop_men_avec_famille_s_compl;2011
C11_PMEN_MENFAMMONO;composition;NUM;pop_men_fam_princ_famille_mono_compl;2011
C11_PMEN_MENFSEUL;composition;NUM;pop_men_femmes_seules_compl;2011
C11_PMEN_MENHSEUL;composition;NUM;pop_men_hommes_seuls_compl;2011
C11_PMEN_MENPSEUL;composition;NUM;pop_men_personnes_seules_compl;2011
C11_PMEN_MENSFAM;composition;NUM;pop_men_autres_sans_famille_compl;2011
C11_POP1524;composition;NUM;pop_15_24_ans_compl;2011
C11_POP1524_CS1;composition;NUM;pop_15_24_ans_agriculteurs_exploitants_compl;2011
C11_POP1524_CS2;composition;NUM;pop_15_24_ans_artisans_comm_chefs_entr_compl;2011
C11_POP1524_CS3;composition;NUM;pop_15_24_ans_cadres_prof_intel_sup_compl;2011
C11_POP1524_CS4;composition;NUM;pop_15_24_ans_prof_intermediaires_compl;2011
